명칭,날짜,요일
신정,20160101,금요일
설날,20160207,일요일
설날,20160208,월요일
설날,20160209,화요일
대체공휴일,20160210,수요일
삼일절,20160301,화요일
국회의원선거일,20160413,수요일
어린이날,20160505,목요일
석가탄신일,20160514,토요일
현충일,20160606,월요일
광복절,20160815,월요일
추석,20160914,수요일
추석,20160915,목요일
추석,20160916,금요일
개천절,20161003,월요일
한글날,20161009,일요일
기독탄신일,20161225,일요일
신정,20170101,일요일
설날,20170127,금요일
설날,20170128,토요일
설날,20170129,일요일
대체공휴일,20170130,월요일
삼일절,20170301,수요일
석가탄신일,20170503,수요일
어린이날,20170505,금요일
대통령선거일,20170509,화요일
현충일,20170606,화요일
광복절,20170815,화요일
임시공휴일,20171002,월요일
개천절,20171003,화요일
추석,20171003,화요일
추석,20171004,수요일
추석,20171005,목요일
대체공휴일,20171006,금요일
한글날,20171009,월요일
기독탄신일,20171225,월요일
1월1일,20180101,월요일
설날,20180215,목요일
설날,20180216,금요일
설날,20180217,토요일
삼일절,20180301,목요일
어린이날,20180505,토요일
대체휴무일,20180507,월요일
부처님오신날,20180522,화요일
현충일,20180606,수요일
전국동시지방선거,20180613,수요일
광복절,20180815,수요일
추석,20180923,일요일
추석,20180924,월요일
추석,20180925,화요일
대체휴무일,20180926,수요일
개천절,20181003,수요일
한글날,20181009,화요일
기독탄신일,20181225,화요일
1월1일,20190101,화요일
설날,20190204,월요일
설날,20190205,화요일
설날,20190206,수요일
삼일절,20190301,금요일
어린이날,20190505,일요일
대체공휴일,20190506,월요일
부처님오신날,20190512,일요일
현충일,20190606,목요일
광복절,20190815,목요일
추석,20190912,목요일
추석,20190913,금요일
추석,20190914,토요일
개천절,20191003,목요일
한글날,20191009,수요일
기독탄신일,20191225,수요일
1월1일,20200101,수요일
설날,20200124,금요일
설날,20200125,토요일
설날,20200126,일요일
설날,20200127,월요일
삼일절,20200301,일요일
제21대 국회의원선거,20200415,수요일
부처님오신날,20200430,목요일
어린이날,20200505,화요일
현충일,20200606,토요일
광복절,20200815,토요일
임시공휴일,20200817,월요일
추석,20200930,수요일
추석,20201001,목요일
추석,20201002,금요일
개천절,20201003,토요일
한글날,20201009,금요일
기독탄신일,20201225,금요일
1월1일,20210101,금요일
설날,20210211,목요일
설날,20210212,금요일
설날,20210213,토요일
삼일절,20210301,월요일
어린이날,20210505,수요일
부처님오신날,20210519,수요일
현충일,20210606,일요일
광복절,20210815,일요일
추석,20210920,월요일
추석,20210921,화요일
추석,20210922,수요일
개천절,20211003,일요일
한글날,20211009,토요일
기독탄신일,20211225,토요일
대체공휴일,20210816,월요일
대체공휴일,20211004,월요일
대체공휴일,20211011,월요일
대체공휴일,20211227,월요일
